#lambda flux_corrected
4392.380520937059 1.5526757E-15
4393.393394183998 1.234591E-15
4394.404088560755 1.3304636E-15
4395.415015446425 1.5266279999999999E-15
4396.428588441096 1.3917496999999998E-15
4397.439981060304 1.2500761999999999E-15
4398.454021007572 1.1302562999999998E-15
4399.465879574879 1.0368223E-15
4400.480386689871 1.2080647E-15
4401.492711419941 1.45478735E-15
4402.505269033984 1.5179515999999999E-15
4403.520477025472 1.3143716E-15
4404.533501124329 1.1023743E-15
4405.549176821657 1.3303127999999998E-15
4406.5626676202355 1.3366095E-15
4407.578811238876 1.5273355999999999E-15
4408.592768952185 1.3418708000000001E-15
4409.606959925133 1.1780972E-15
4410.623805550856 1.12647E-15
4411.6384637611045 1.1415763E-15
4412.655777847124 1.2735039E-15
4413.67090350993 1.4231004999999999E-15
4414.688686272067 1.3153503000000001E-15
4415.704279602784 1.0020044999999999E-15
4416.722531256957 1.2611969E-15
4417.73859247104 1.2914386E-15
4418.75488742867 1.4322146E-15
4419.77384254627 1.2141448E-15
4420.790605710506 1.0720907999999999E-15
4421.810030260245 1.2354476999999998E-15
4422.827261846788 1.5649162999999999E-15
4423.847156044934 1.3160804E-15
4424.864856269587 1.30039625E-15
4425.882790614839 1.5919848999999998E-15
4426.903389411171 1.4324916999999998E-15
4427.921792718293 1.0790976E-15
4428.942861704006 9.045004E-16
4429.961734189049 8.72828E-16
4430.98327358076 1.2147656E-15
4432.002615459874 1.1476636E-15
4433.022191837247 1.1657094E-15
4434.044436963733 1.1976006999999998E-15
4435.06448305946 1.4662632999999999E-15
4436.087199133791 1.2825559E-15
4437.10771516427 1.170787E-15
4438.130902403412 1.1968135E-15
4439.151888585143 1.2195121E-15
4440.173109643404 1.284059E-15
4441.197003755741 1.3843178E-15
4442.218695290059 1.4530819E-15
4443.24306110993 1.3612906E-15
4444.265223337053 1.0712419999999999E-15
4445.290061081771 1.1857986E-15
4446.312694218547 1.3599645999999999E-15
4447.335562610734 1.3602785E-15
4448.361108368907 1.2248037E-15
4449.384447996076 1.254874E-15
4450.410466222694 1.2980776E-15
4451.434277301944 1.2446109E-15
4452.4607682146725 1.3561415999999999E-15
4453.4850509632015 1.4379572E-15
4454.509569346632 1.2212169E-15
4455.536769414913 9.950257999999999E-16
4456.561759793476 1.0373766E-15
4457.589433092342 1.1993105999999998E-15
4458.614895683487 1.3005903999999998E-15
4459.643042430955 1.0329067E-15
4460.668977452229 1.0134031E-15
4461.695148488507 1.2331094E-15
4462.724005535468 1.3708793999999998E-15
4463.750649328255 1.2162221E-15
4464.7799803691705 1.2913527E-15
4465.807097136267 1.4412794E-15
4466.836902389504 1.2185957999999999E-15
4467.864492348808 1.1664244E-15
4468.892318703833 1.39296E-15
4469.922835402349 1.4237639E-15
4470.951135276488 1.3383889999999998E-15
4471.982126733558 1.2335659E-15
4473.010900344962 1.0181776E-15
4474.0423667793075 1.1297456999999999E-15
4475.071614346226 1.4721134E-15
4476.101098690194 1.34312315E-15
4477.133277717454 1.3358498E-15
4478.163236344371 1.2365282000000001E-15
4479.19589089602 1.2181734E-15
4480.226324024388 1.3089191E-15
4481.259454319499 1.302809E-15
4482.290362167922 1.2827162E-15
4483.321507175339 1.1456327E-15
4484.355351212848 9.567975E-16
4485.386971268283 9.282791E-16
4486.42129159725 8.503672E-16
4487.453386919555 9.681774E-16
4488.488183759407 1.4150888999999999E-15
4489.520754567538 1.1869881E-15
4490.5535629172255 1.3892367999999999E-15
4491.589074650816 1.3087107E-15
4492.6223588148205 1.1817536999999999E-15
4493.658347608175 9.684153E-16
4494.692107805705 1.1553164E-15
4495.728573878606 1.2202581E-15
4496.762810328968 1.1670913E-15
4497.799753901298 1.1807829E-15
4498.834466823902 1.1536196E-15
4499.869417780855 1.1518182E-15
4500.907077730001 1.2897783E-15
4501.9425054883695 1.3778218E-15
4502.980643486962 1.3809363E-15
4504.016548266408 1.4714335999999999E-15
4505.055164534685 1.3119338000000001E-15
4506.091546554971 1.3253064999999999E-15
4507.128166993579 1.2785389999999998E-15
4508.167500794262 1.2515384E-15
4509.204598803415 1.140368E-15
4510.244411424686 1.0018168E-15
4511.281987224401 1.065713E-15
4512.322278886854 1.1872183E-15
4513.360332697247 1.4087103999999999E-15
4514.398625310555 1.3519666E-15
4515.439635662869 1.1417526E-15
4516.4784066170905 1.321306E-15
4517.5198965623795 1.20368395E-15
4518.559146077888 1.2519896E-15
4519.601115837101 1.0471572E-15
4520.640844134369 1.0712305E-15
4521.680811619765 1.3817449E-15
4522.723501228157 1.2068662E-15
4523.763947826081 1.3703602E-15
4524.807117801081 1.1531303E-15
4525.84804373226 1.3867634E-15
4526.891694295173 1.4361601E-15
4527.9330997804345 1.3891773000000001E-15
4528.974744839658 1.4237963E-15
4530.019116412942 1.2331561E-15
4531.061241357551 1.0425319E-15
4532.106094072323 1.1117587E-15
4533.148699123401 1.0358041E-15
4534.194033201322 1.0140332E-15
4535.237118580052 1.1596703E-15
4536.280443919203 1.1733516E-15
4537.326500170559 1.0893054E-15
4538.370306169199 1.2503035E-15
4539.416844338172 1.2320743E-15
4540.461131217741 1.2152328999999999E-15
4541.508151526354 1.1619282E-15
4542.552919508393 1.3235920999999999E-15
4543.597927837933 1.2856994999999999E-15
4544.645671484917 9.03524E-16
4545.6911612493 9.416329E-16
4546.739387591287 1.2164409E-15
4547.785359012308 1.2102007999999999E-15
4548.834068271673 1.3105912E-15
4549.880521571232 1.1055876E-15
4550.927215605997 1.3847357999999999E-15
4551.976649370554 1.1785367E-15
4553.023825616765 8.58201E-16
4554.073742854959 9.518129E-16
4555.1214015347705 1.2352919999999998E-15
4556.171802469338 1.2619046E-15
4557.219943805007 1.2118296E-15
4558.268326264212 1.3146661999999998E-15
4559.319452872673 1.4081548E-15
4560.36831832118 1.2089722E-15
4561.41992918317 1.0384328999999999E-15
4562.469277843492 1.0973952000000001E-15
4563.521373182108 1.1230945999999998E-15
4564.57120527686 1.0187035E-15
4565.621278884107 8.917757E-16
